 ,Soil,Month,State,Rice,Wheat,Cotton,Sugarcane,Tea,Ragi,Maize,Millet,Barley,Target
377,3,1,13,1,0,0,0,0,0,0,1,0,18
378,3,1,14,1,0,0,0,0,0,0,1,0,18
379,3,1,15,1,0,0,0,0,0,0,0,0,1
380,3,1,16,1,0,0,0,0,0,0,0,0,1
381,3,1,17,1,0,0,0,0,0,0,0,0,1
382,3,1,18,1,0,0,0,0,0,0,0,0,1
383,3,2,1,0,0,0,1,0,0,0,1,0,48
384,3,2,4,0,0,0,0,0,0,0,1,0,8
385,3,2,5,0,0,0,0,0,0,0,1,0,8
386,3,2,7,0,0,0,1,0,0,0,1,0,48
387,3,2,9,0,0,0,0,0,0,0,1,0,8
388,3,2,10,0,0,0,1,0,0,0,1,0,48
389,3,2,19,0,0,0,0,0,0,0,1,0,8
390,3,2,13,0,0,0,1,0,0,0,1,0,48
391,3,2,14,0,0,0,1,0,0,0,1,0,48
392,3,2,18,0,0,0,1,0,0,0,0,0,48
393,3,3,1,0,0,0,1,0,0,1,0,0,47
394,3,3,3,0,0,0,0,0,0,1,0,0,7
395,3,3,6,0,0,0,0,0,0,1,0,0,7
396,3,3,7,0,0,0,1,0,0,1,0,0,47
397,3,3,9,0,0,0,0,0,0,1,0,0,7
398,3,3,10,0,0,0,1,0,0,1,0,0,47
399,3,3,11,0,0,0,0,0,0,1,0,0,7
400,3,3,12,0,0,0,0,0,0,1,0,0,7
401,3,3,19,0,0,0,0,0,0,1,0,0,7
402,3,3,13,0,0,0,1,0,0,1,0,0,47
403,3,3,14,0,0,0,1,0,0,1,0,0,47
404,3,3,17,0,0,0,0,0,0,1,0,0,7
405,3,3,18,0,0,0,1,0,0,0,0,0,4
406,3,4,1,0,0,1,1,0,0,1,0,0,347
407,3,4,3,0,0,0,0,0,0,1,0,0,7
408,3,4,4,0,0,1,0,0,0,0,0,0,3
409,3,4,5,0,0,1,0,0,0,0,0,0,3
410,3,4,6,0,0,0,0,0,0,1,0,0,7
411,3,4,7,0,0,1,1,0,0,1,0,0,347
412,3,4,9,0,0,1,0,0,0,1,0,0,37
413,3,4,10,0,0,1,1,0,0,1,0,0,347
414,3,4,11,0,0,1,0,0,0,1,0,0,37
415,3,4,12,0,0,1,0,0,0,1,0,0,37
416,3,4,19,0,0,1,0,0,0,1,0,0,37
417,3,4,13,0,0,1,1,0,0,1,0,0,347
418,3,4,14,0,0,0,1,0,0,1,0,0,47
